ctp_class,Direction,FullName,StreetType,length,VertexNo
Arterial Street,Eastbound,9 AV SW,AV,28.9531994,2
Arterial Street,Eastbound,9 AV SW,AV,127.3970032,3
Urban Boulevard,Northbound,4 ST SW,ST,36.4113998,2
Urban Boulevard,Southbound,9 ST SW,ST,52.800499,3
Arterial Street,Eastbound,5 AV SW,AV,167.2339935,4
Arterial Street,Westbound,4 AV SW,AV,175.5370026,5
Arterial Street,Westbound,6 AV SW,AV,60.3328018,5
Urban Boulevard,Northbound,4 ST SW,ST,185.7669983,8
Urban Boulevard,Northbound,4 ST SW,ST,53.5598984,5
Urban Boulevard,Unspecified Bidirectional,9 AV SE,AV,313.0769958,30
Arterial Street,Eastbound,9 AV SW,AV,37.3652,8
Arterial Street,Westbound,5 AV SW,AV,997.5999756,79
Arterial Street,Westbound,6 AV SW,AV,416.7090149,56
Arterial Street,Westbound,6 AV SW,AV,47.8177986,2
Urban Boulevard,Unspecified Bidirectional,5 ST SW,ST,53.4808998,5
Arterial Street,Northbound,6 AV SW,AV,58.5344009,14
Arterial Street,Eastbound,5 AV SE,AV,117.3799973,6
Urban Boulevard,Unspecified Bidirectional,14 ST SW,ST,169.8820038,7
Arterial Street,Eastbound,9 AV SE,AV,170.7640076,5
Arterial Street,Westbound,6 AV SW,AV,125.7929993,5
Arterial Street,Eastbound,9 AV SW,AV,182.3899994,10
Urban Boulevard,Unspecified Bidirectional,CENTRE ST S,ST,105.1220016,5
Urban Boulevard,Southbound,5 ST SW,ST,54.2554016,5
Urban Boulevard,Southbound,9 ST SW,ST,52.1730003,3
Urban Boulevard,Unspecified Bidirectional,CENTRE ST S,ST,20.2448997,2
Arterial Street,Westbound,6 AV SW,AV,170.5310059,5
Urban Boulevard,Eastbound,9 AV SE,AV,175.598999,10
Arterial Street,Eastbound,9 AV SW,AV,80.7207031,24
Arterial Street,Westbound,6 AV SW,AV,52.082901,7
Urban Boulevard,Northbound,MACLEOD TR SE,TR,28.7304001,3
Urban Boulevard,Unspecified Bidirectional,CENTRE ST S,ST,54.527401,5
Urban Boulevard,Unspecified Bidirectional,9 AV SE,AV,91.2060013,3
Arterial Street,Westbound,6 AV SW,AV,159.1199951,5
