Orig_FID,Class,Quadrant,District,Orig_area,ISEA3H24Area,ISEA3H24DiffArea,ISEA3H25Area,ISEA3H25DiffArea,ISEA3H26Area,ISEA3H26DiffArea,ISEA3H27Area,ISEA3H27DiffArea,ISEA3H28Area,ISEA3H28DiffArea,ISEA4H18Area,ISEA4H18DiffArea,ISEA4H19Area,ISEA4H19DiffArea,ISEA4H20Area,ISEA4H20DiffArea,ISEA4H21Area,ISEA4H21DiffArea,ISEA4H22Area,ISEA4H22DiffArea,ISEA4T17Area,ISEA4T17DiffArea,ISEA4T18Area,ISEA4T18DiffArea,ISEA4T19Area,ISEA4T19DiffArea,ISEA4T20Area,ISEA4T20DiffArea,ISEA4T21Area,ISEA4T21DiffArea,ISEA4D18Area,ISEA4D18DiffArea,ISEA4D19Area,ISEA4D19DiffArea,ISEA4D20Area,ISEA4D20DiffArea,ISEA4D21Area,ISEA4D21DiffArea,ISEA4D22Area,ISEA4D22DiffArea
0,Building/Paved,NE,801F,190.5087182,1087.540001,897.0312823,543.7700023,353.261284,296.8140579,106.3053397,315.520865,125.0121468,264.0529223,73.5442041,2234.835242,2044.326524,931.1813579,740.6726397,512.1497465,321.6410282,372.4725428,181.9638246,279.3544069,88.84568868,2979.780384,2789.271666,1489.890169,1299.381451,651.826954,461.3182358,395.7520779,205.2433597,296.8140579,106.3053397,2234.835252,2044.326534,931.1813655,740.6726472,558.7088167,368.2000984,372.4725434,181.9638252,293.9041159,103.3953976
1,Building/Paved,NE,801F,183.5668941,906.2832112,722.7163171,543.769926,360.2030318,337.5531955,153.9863014,275.2415679,91.67467373,246.1509958,62.58410163,1489.889935,1306.323041,931.1812292,747.6143351,512.1496776,328.5827835,314.273665,130.7067708,247.345014,63.77811991,2979.779911,2796.213017,2234.834934,2051.26804,838.0631026,654.4962085,512.1496748,328.5827807,337.5531955,153.9863014,2979.779911,2796.213017,1303.653716,1120.086822,698.3859208,514.8190267,419.031553,235.4646589,285.1742513,101.6073572
2,Building/Paved,NE,707C,2112.167036,3625.131279,1512.964242,3081.361587,969.1945507,2473.449073,361.2820363,2416.754187,304.5871511,2278.014595,165.8475584,5959.557277,3847.390241,4097.195632,1985.028595,2933.219606,821.0525692,2455.989432,343.822396,2333.771949,221.6049123,8939.336094,6827.169057,4469.66797,2357.500933,3259.132898,1146.965861,2677.14488,564.9778432,2473.449073,361.2820363,5959.557293,3847.390257,3724.723317,1612.55628,2933.219608,821.0525716,2607.306317,495.1392804,2342.501768,230.334732
3,Building/Paved,NE,801F,411.3998407,1268.795982,857.3961414,845.8639959,434.4641552,535.4289945,124.0291538,543.7697108,132.3698701,485.5885896,74.18874886,2234.834064,1823.434223,1303.653202,892.2533615,744.9446873,333.5448466,570.3482766,158.9484359,485.9600111,74.5601704,4469.668124,4058.268283,1862.361723,1450.961883,1117.417039,706.0171978,651.8266028,240.4267621,535.4289945,124.0291538,2979.778748,2568.378907,1489.889384,1078.489543,791.503732,380.1038912,593.6277982,182.2279575,503.4196523,92.01981157
4,Building/Paved,NE,801F,346.6782465,1268.79603,922.1177832,966.7017371,620.0234906,535.4290099,188.7507634,516.9169008,170.2386543,438.5961582,91.91791172,2979.778835,2633.100589,1489.889417,1143.21117,838.0627985,491.384552,558.7085321,212.0302856,442.3109212,95.6326747,8939.336583,8592.658337,2234.834146,1888.155899,1117.417064,770.7388179,698.3856648,351.7074183,535.4290099,188.7507634,2979.778861,2633.100615,1489.88942,1143.211173,884.6218422,537.9435957,628.5470986,281.8688521,483.050085,136.3718385
5,Building/Paved,NE,801F,67.90673472,543.7699654,475.8632307,241.6755419,173.7688072,116.397663,48.49092823,127.5509808,59.64424604,105.1736157,37.26688097,744.9450344,677.0382996,558.7087841,490.8020493,186.2362607,118.329526,162.9567281,95.04999339,101.8479551,33.94122038,2979.78022,2911.873485,744.9450447,677.03831,279.3543928,211.4476581,186.2362606,118.3295259,116.397663,48.49092823,744.9450447,677.03831,372.4725256,304.5657908,232.7953258,164.888591,139.6771956,71.77046086,98.93801355,31.03127883
6,Building/Paved,NE,801F,399.1960907,1268.796038,869.599947,845.8640275,446.6679369,535.4290142,136.2329235,543.7697311,144.5736405,483.3508721,84.15478145,2234.834135,1835.638045,1489.889436,1090.693345,791.503761,392.3076704,605.2675813,206.0714907,497.5997904,98.40369969,2979.77884,2580.582749,2607.306493,2208.110403,1303.653251,904.45716,721.6651923,322.4691017,535.4290142,136.2329235,3724.723566,3325.527476,1676.125608,1276.929517,884.6218483,485.4257576,616.9073424,217.7112518,506.3296113,107.1335206
7,Building/Paved,NE,707C,2164.417409,3262.618455,1098.201047,3081.361877,916.9444682,2543.287873,378.8704639,2450.320448,285.9030393,2331.720462,167.3030536,5959.557848,3795.14044,3910.959843,1746.542434,2933.21988,768.8024709,2537.467993,373.0505845,2368.691453,204.2740439,7449.447343,5285.029934,4469.668386,2305.250977,3259.133202,1094.715794,2840.10179,675.6843814,2543.287873,378.8704639,5214.613117,3050.195708,3724.723664,1560.306256,3119.456067,955.038658,2677.145129,512.7277205,2400.700796,236.2833873
8,Building/Paved,NE,801F,62.52038119,543.7699728,481.2495916,241.6755417,179.1551605,110.57778,48.05739885,114.1245616,51.60418045,100.6981428,38.17776158,1489.89009,1427.369708,186.2362612,123.71588,325.913457,263.3930758,139.6771956,77.15681444,104.7578968,42.23751562,2979.78022,2917.259839,744.9450447,682.4246635,558.7087835,496.1884023,139.6771958,77.15681462,110.57778,48.05739885,744.9450447,682.4246635,744.9450446,682.4246634,186.2362612,123.71588,128.0374295,65.51704827,93.11813048,30.59774929
9,Building/Paved,NE,801F,3284.466606,5075.184412,1790.717806,4531.414655,1246.948049,3782.922571,498.4559649,3698.976997,414.5103908,3544.573238,260.106632,8939.337027,5654.870421,5028.377073,1743.910467,4423.109467,1138.642861,3806.202095,521.7354885,3544.307455,259.8408485,14898.89513,11614.42853,8566.864685,5282.398079,5587.085665,2302.619059,4213.593761,929.1271553,3782.922571,498.4559649,10429.22656,7144.75995,6518.266607,3233.800001,4609.34566,1324.879054,3992.438283,707.971677,3625.785786,341.3191804
