FID,JOIN_FID,FREQUENCY,SUM_resist
-1,0,94,210.3472519
-1,1,80,179.0189059
-1,2,944,2112.422178
-1,3,188,420.6942619
-1,4,155,346.8490027
-1,5,29,64.8943586
-1,6,173,387.1282448
-1,7,963,2154.939352
-1,8,27,60.41888565
-1,9,1466,3280.520433
-1,10,43,96.22261044
-1,11,9969,22307.9799
-1,12,7499,16780.77391
-1,13,2869,6420.061962
-1,14,10544,23594.67953
-1,15,2239,5010.289256
-1,16,2662,5956.851174
-1,17,40,89.50941557
-1,18,5346,11962.93652
-1,19,7896,17669.16297
-1,20,2399,5368.327282
-1,21,4953,11083.50314
-1,22,2692,6023.983886
-1,23,235,525.8678445
-1,24,2306,5160.21805
-1,25,5503,12314.25792
-1,26,1449,3242.478782
-1,27,4972,11126.02066
-1,28,29,64.89435876
-1,29,781,1747.671514
-1,30,5881,13160.12248
-1,31,59,132.026444
-1,32,3205,7171.942569
-1,33,37,82.79622229
-1,34,70,156.6415347
-1,35,2513,5623.429802
-1,36,2007,4491.13561
-1,37,138,308.8076155
-1,38,2705,6053.07519
-1,39,6215,13907.52815
-1,40,2704,6050.838029
-1,41,5757,12882.6455
-1,42,191,427.4075779
-1,43,1725,3860.094618
-1,44,12,26.85283348
-1,45,172,384.8906271
-1,46,422,944.3246988
-1,47,2043,4571.695086
-1,48,3207,7176.419738
-1,49,11473,25673.54544
-1,50,81,181.2566415
-1,51,93,208.1094797
-1,52,258,577.3359983
-1,53,710,1588.792849
-1,54,5607,12546.98743
-1,55,27,60.41888545
-1,56,28,62.65662199
-1,57,29,64.89435857
-1,58,4487,10040.7227
-1,59,899,2011.725051
-1,60,2821,6312.65443
-1,61,1030,2304.868545
-1,62,5845,13079.56909
-1,63,89,199.158553
-1,64,1946,4354.635229
-1,65,4814,10772.46302
-1,66,2283,5108.752274
-1,67,97,217.0604477
-1,68,76,170.0679825
-1,69,64,143.215143
-1,70,143,319.9963332
-1,71,160,358.0378546
-1,72,258,577.336037
-1,73,23,51.46794316
-1,74,2202,4927.495763
-1,75,945,2114.661094
-1,76,345,772.0191484
-1,77,1905,4262.888291
-1,78,471,1053.973959
-1,79,4680,10472.60715
-1,80,2113,4728.33765
-1,82,82,183.4944154
-1,83,1979,4428.482461
-1,84,1722,3853.382776
-1,85,2995,6702.021924
-1,86,110,246.1510655
-1,87,1471,3291.710719
-1,88,895,2002.774527
-1,89,619,1385.159169
-1,90,5022,11237.91448
-1,91,2162,4837.987367
-1,92,5245,11736.93002
-1,93,936,2094.521747
-1,94,275,615.3776959
-1,95,5169,11566.86225
-1,96,45,100.6981725
-1,97,4642,10387.57647
-1,98,5455,12206.85516
-1,99,46,102.9359099
-1,100,135,302.0945161
-1,101,150,335.660571
-1,102,74,165.5925516
-1,103,4960,11099.17566
-1,104,76,170.0680275
-1,105,43,96.22270878
-1,106,48,107.4114006
-1,107,4039,9038.220042
-1,108,817,1828.231274
-1,109,346,774.2570672
-1,110,37,82.79627819
-1,111,345,772.0193289
-1,112,250,559.4343126
-1,113,46,102.935915
-1,114,54,120.8378124
-1,115,104,232.7246811
-1,116,95,212.5850913
-1,117,2555,5717.418943
-1,118,3446,7711.243022
-1,119,2575,5762.173899
-1,120,4907,10980.57734
-1,121,2339,5234.067819
-1,122,4450,9957.931607
-1,123,41,91.74724435
-1,124,5551,12421.68072
-1,125,631,1412.012462
-1,126,549,1228.51806
-1,127,199,445.3098347
-1,128,724,1620.122204
-1,129,2804,6274.616929
-1,130,166,371.4644957
-1,131,2511,5618.959844
-1,132,6152,13766.56112
-1,133,1494,3343.180027
-1,134,2371,5305.67599
-1,135,1030,2304.869784
-1,136,862,1928.929883
-1,137,92,205.871874
-1,138,4801,10743.37916
-1,139,1479,3309.614376
-1,140,623,1394.110734
-1,141,5345,11960.70874
-1,142,69,154.4039246
-1,143,5484,12271.75452
-1,144,1860,4162.1925
-1,145,2801,6267.903894
-1,146,528,1181.525686
-1,147,19,42.51702466
-1,148,35,78.32082997
-1,149,2797,6258.953357
-1,150,2637,5900.915372
-1,151,25,55.9434542
-1,152,184,411.743829
-1,153,57,127.5510784
-1,154,2644,5916.579619
-1,155,37,82.79631487
-1,156,4225,9454.443201
-1,157,107,239.4379927
-1,158,55,123.0756028
-1,159,21,46.99250389
-1,160,30,67.13214943
-1,161,60,134.264301
-1,162,969,2168.368507
-1,163,29,64.89441699
-1,164,795,1779.002191
-1,165,2979,6666.222126
-1,166,251,561.6723262
-1,167,1163,2602.489616
-1,168,33,73.84536834
-1,169,2673,5981.474662
-1,170,5576,12477.62865
-1,171,2758,6171.682514
-1,172,199,445.3100981
-1,173,6000,13426.43015
-1,174,28,62.65667974
-1,175,3605,8067.046941
-1,176,6131,13719.57441
-1,177,2830,6332.800197
-1,178,2095,4688.062389
-1,179,644,1441.103718
-1,180,8252,18465.81743
-1,181,20,44.75478038
-1,182,3997,8944.241634
-1,183,446,998.0316653
-1,184,350,783.208814
-1,185,69,154.4040238
-1,186,4048,9058.367023
-1,187,4528,10132.4814
-1,188,1695,3792.967487
-1,189,522,1168.099902
-1,190,4782,10700.86748
-1,191,6524,14599.00887
-1,192,217,485.5893901
-1,193,31,69.36991469
-1,194,31,69.36991503
-1,195,4204,9407.456175
-1,196,147,328.9477204
-1,197,166,371.4647916
-1,198,11988,26826.01605
-1,199,323,722.7898653
-1,200,187,418.4573501
-1,201,11021,24662.12644
-1,202,478,1069.639576
-1,203,223,499.0159574
-1,204,20,44.75479557
-1,205,567,1268.798418
-1,206,22,49.23027497
-1,207,18,40.27931685
-1,208,5048,11296.10877
-1,209,201,449.7857061
-1,210,23,51.46802047
-1,211,11210,25085.05775
-1,212,124,277.4797573
-1,213,14,31.32835675
-1,214,4,8.950957048
-1,215,457,1022.646812
-1,216,33,73.84536641
-1,217,268,599.7141408
-1,218,52,116.3624667
-1,219,8,17.90191813
-1,220,15,33.5660978
-1,221,25,55.94349944
-1,222,272,608.6651017
-1,223,153,342.3741904
-1,224,211,472.1630963
-1,225,163,364.7515876
-1,226,64,143.2153503
-1,227,365,816.7750536
-1,228,203,454.2611954
-1,229,658,1472.432836
-1,230,980,2192.985049
-1,231,4729,10582.26696
-1,232,1457,3260.386271
-1,233,47,105.1737651
-1,234,1121,2508.506498
-1,235,67,149.9283081
-1,236,24,53.70566291
-1,237,32,71.60752244
-1,238,29,64.89433694
-1,239,117,261.8150866
-1,240,68,152.1660365
-1,241,26,58.18113187
-1,242,40,89.50943449
-1,243,38,85.03396726
-1,244,35,78.32075954
-1,245,29,64.89434449
-1,246,29,64.89434455
-1,247,29,64.89434466
-1,248,28,62.65660846
-1,249,30,67.13208169
-1,250,24,53.70566567
-1,251,42,93.98491546
-1,252,107,239.4377604
-1,253,34,76.08302753
-1,254,73,163.3547357
-1,255,33,73.84533454
-1,256,8,17.90190878
-1,257,19,42.51703355
-1,258,204,456.4987325
-1,259,40,89.50955524
-1,260,19,42.51704179
-1,261,53,118.6000458
-1,262,100,223.7736784
-1,263,63,140.9774182
-1,264,266,595.2380194
-1,265,118,264.0527663
-1,266,136,304.3320162
-1,267,119,266.2904775
-1,268,286,639.9922423
-1,269,125,279.7168925
-1,270,85,190.2074914
-1,271,129,288.6678459
-1,272,30,67.13205791
-1,273,73,163.3546754
-1,274,23,51.46791149
-1,275,49,109.6490363
-1,276,1205,2696.471232
-1,277,251,561.6716048
-1,278,132,295.3810869
-1,279,22,49.23018138
-1,280,28,62.65659786
-1,281,456,1020.407458
-1,282,50,111.8867913
-1,283,56,125.3132103
-1,284,143,319.9963733
-1,285,145,324.4717088
-1,286,74,165.5924597
-1,287,35,78.32075866
-1,288,116,259.5773786
-1,289,56,125.3132206
-1,290,22,49.23021586
-1,291,28,62.65664068
-1,292,31,69.36985302
-1,293,321,718.3132662
-1,294,121,270.7662
-1,295,47,105.1736502
-1,296,20,44.7547449
-1,297,62,138.7398098
-1,298,362,810.0604378
-1,299,31,69.36981608
-1,300,649,1452.290792
-1,301,100,223.773635
-1,302,570,1275.509534
-1,303,108,241.6755046
-1,304,48,107.4113477
-1,305,40,89.50946627
-1,306,565,1264.321534
-1,307,637,1425.43865
-1,308,258,577.3362264
-1,309,171,382.6531078
-1,310,26,58.1811776
-1,311,832,1861.797757
-1,312,2303,5153.511213
-1,313,22,49.23024736
-1,314,132,295.3815102
-1,315,182,407.2684448
-1,316,263,588.5253276
-1,317,1798,4023.454477
-1,318,418,935.3749012
-1,319,50,111.8869656
-1,320,3553,7950.687684
-1,321,84,187.9701209
-1,322,463,1036.073399
-1,323,51,114.1247284
-1,324,65,145.4530851
-1,325,3934,8803.266989
-1,326,82,183.4946656
-1,327,302,675.7974216
-1,328,167,373.7025849
-1,329,1542,3450.594795
-1,330,755,1689.493566
-1,331,183,409.5064082
-1,332,98,219.2985179
-1,333,34,76.08315943
-1,334,26,58.18124035
-1,335,274,613.140757
-1,336,968,2166.131095
-1,337,95,212.5852009
-1,338,92,205.8719873
-1,339,121,270.7664219
-1,340,42,93.98503941
-1,341,91,203.6342548
-1,342,572,1279.986772
-1,343,173,387.1288755
-1,344,769,1720.821839
-1,345,1011,2262.354863
-1,346,2079,4652.259905
-1,347,1009,2257.878719
-1,348,354,792.1592737
-1,349,326,729.5029638
-1,350,114,255.102152
-1,351,66,147.6907083
-1,352,17,38.0415508
-1,353,24,53.70572925
-1,354,17,38.04155959
-1,355,26,58.1812081
-1,356,48,107.4114851
-1,357,100,223.7738786
-1,358,23,51.4679943
-1,359,72,161.1172152
-1,360,44,98.46052432
-1,361,83,185.7323533
-1,362,126,281.9551459
-1,363,183,409.5062697
-1,364,8,17.9019144
-1,365,277,619.8538795
-1,366,71,158.8795281
-1,367,20,44.75479839
-1,368,94,210.3474516
-1,369,885,1980.398339
-1,370,1,2.237738244
-1,371,133,297.6191962
-1,372,257,575.0987679
-1,373,89,199.1587199
-1,374,658,1472.432198
-1,375,1179,2638.293579
-1,376,92,205.8719475
-1,377,148,331.1853153
-1,378,213,476.6383452
