FID,JOIN_FID,FREQUENCY,SUM_resist,FIRST_shape_area
-1,0,70,202.957118,190.5087182
-1,1,63,182.6614062,183.5668941
-1,2,722,2093.357703,2112.167036
-1,3,142,411.7130108,411.3998407
-1,4,118,342.1277132,346.6782465
-1,5,25,72.484685,67.90673472
-1,6,140,405.914236,399.1960907
-1,7,741,2148.446063,2164.417409
-1,8,22,63.7865228,62.52038119
-1,9,1130,3276.307762,3284.466606
-1,10,34,98.5791716,94.33531305
-1,11,7728,22406.46583,22113.03755
-1,12,5827,16894.73038,16626.6461
-1,13,2208,6401.847379,6413.921722
-1,14,8109,23511.13243,23584.50228
-1,15,1719,4984.046941,4998.376327
-1,16,2046,5932.14662,5951.469953
-1,17,31,89.8810094,87.85350877
-1,18,4109,11913.58283,11959.97014
-1,19,6063,17578.98581,17662.71767
-1,20,1852,5369.665465,5388.438275
-1,21,3808,11040.86722,11090.92101
-1,22,2071,6004.631305,6026.20345
-1,23,187,542.1854438,535.0546519
-1,24,1780,5160.909572,5152.929834
-1,25,4227,12255.71054,12314.10156
-1,26,1113,3227.018176,3230.792374
-1,27,3825,11090.15681,11156.22731
-1,28,23,66.6859102,65.35288893
-1,29,602,1745.431215,1753.517066
-1,30,4525,13119.72799,13174.26443
-1,31,42,121.7742708,134.221817
-1,32,2458,7126.694229,7161.947066
-1,33,30,86.981622,85.95252515
-1,34,52,150.7681448,154.2617268
-1,35,1940,5624.811556,5627.274644
-1,36,1540,4465.056596,4466.302934
-1,37,105,304.435677,307.5493946
-1,38,2076,6019.128242,6054.631662
-1,39,4784,13870.66932,13923.26804
-1,40,2081,6033.625179,6036.888442
-1,41,4428,12838.48741,12885.95315
-1,42,146,423.3105604,425.7235151
-1,43,1332,3861.984017,3873.115977
-1,44,10,28.993874,29.95647153
-1,45,134,388.5179116,388.6242818
-1,46,324,939.4015176,945.8579101
-1,47,1581,4583.931479,4588.174207
-1,48,2474,7173.084428,7204.132052
-1,49,8819,25569.69748,25678.73544
-1,50,66,191.3595684,182.3848251
-1,51,79,229.0516046,220.7310056
-1,52,201,582.7768674,578.790189
-1,53,543,1574.367358,1585.744778
-1,54,4308,12490.56092,12551.75553
-1,55,19,55.0883606,63.79347015
-1,56,20,57.987748,65.89726701
-1,57,22,63.7865228,63.17982409
-1,58,3453,10011.58469,10054.14298
-1,59,692,2006.376081,2008.415524
-1,60,2165,6277.173721,6300.718037
-1,61,801,2322.409307,2305.032526
-1,62,4499,13044.34391,13075.79101
-1,63,63,182.6614062,194.3463619
-1,64,1499,4346.181713,4356.37698
-1,65,3681,10672.64502,10757.03265
-1,66,1761,5105.821211,5125.463401
-1,67,68,197.1583432,214.5648478
-1,68,57,165.2650818,171.5595952
-1,69,48,139.1705952,138.3758686
-1,70,114,330.5301636,329.4192628
-1,71,125,362.423425,354.3120127
-1,72,202,585.6762548,590.9698323
-1,73,18,52.1889732,52.35920456
-1,74,1705,4943.455517,4943.817667
-1,75,726,2104.955252,2110.607132
-1,76,258,748.0419492,757.0879644
-1,77,1465,4247.602541,4259.657406
-1,78,365,1058.276401,1057.127552
-1,79,3600,10437.79464,10484.59525
-1,80,1622,4702.806363,4708.88687
-1,82,59,171.0638566,177.8203367
-1,83,1519,4404.169461,4429.555163
-1,84,1328,3850.386467,3853.716836
-1,85,2287,6630.898984,6672.148436
-1,86,83,240.6491542,243.4878583
-1,87,1126,3264.710212,3297.829464
-1,88,698,2023.772405,2028.528615
-1,89,475,1377.209015,1387.110761
-1,90,3859,11188.73598,11228.71343
-1,91,1658,4807.184309,4832.535162
-1,92,4021,11658.43674,11727.39228
-1,93,727,2107.85464,2110.50013
-1,94,215,623.368291,625.3715681
-1,95,3977,11530.86369,11567.74317
-1,96,36,104.3779464,102.8526275
-1,97,3572,10356.61179,10380.6194
-1,98,4210,12206.42095,12237.81498
-1,99,35,101.478559,103.0638547
-1,100,104,301.5362896,307.5678694
-1,101,116,336.3289384,343.1945494
-1,102,56,162.3656944,165.923416
-1,103,3817,11066.96171,11090.4338
-1,104,58,168.1644692,171.0257112
-1,105,31,89.8810094,92.86824076
-1,106,38,110.1767212,108.236097
-1,107,3087,8950.408904,8994.513371
-1,108,628,1820.815287,1840.239553
-1,109,268,777.0358232,780.1688246
-1,110,33,95.6797842,91.60459232
-1,111,269,779.9352106,778.2702552
-1,112,193,559.5817682,552.175242
-1,113,34,98.5791716,97.8723558
-1,114,46,133.3718204,131.9100257
-1,115,82,237.7497668,235.7290935
-1,116,72,208.7558928,205.5659823
-1,117,1962,5688.598079,5718.11789
-1,118,2652,7689.175385,7717.047366
-1,119,1977,5732.08889,5746.014825
-1,120,3767,10921.99234,10982.56891
-1,121,1797,5210.199158,5196.338355
-1,122,3426,9933.301232,9963.319309
-1,123,34,98.5791716,96.05382668
-1,124,4285,12423.87501,12438.58243
-1,125,489,1417.800439,1404.184846
-1,126,414,1200.346384,1220.814678
-1,127,148,429.1093352,434.4728525
-1,128,550,1594.66307,1607.748918
-1,129,2162,6268.475559,6281.933115
-1,130,131,379.8197494,365.7085593
-1,131,1922,5572.622583,5600.004498
-1,132,4738,13737.2975,13779.71819
-1,133,1152,3340.094285,3338.313332
-1,134,1822,5282.683843,5296.739693
-1,135,790,2290.516046,2313.715513
-1,136,658,1907.796909,1920.431386
-1,137,70,202.957118,200.2088568
-1,138,3681,10672.64502,10737.19418
-1,139,1134,3287.905312,3316.981271
-1,140,475,1377.209015,1386.123442
-1,141,4101,11890.38773,11953.80401
-1,142,54,156.5669196,154.5353378
-1,143,4218,12229.61605,12256.70588
-1,144,1418,4111.331333,4150.774339
-1,145,2147,6224.984748,6276.152081
-1,146,401,1162.654347,1174.31112
-1,147,14,40.5914236,43.67119175
-1,148,35,101.478559,101.973168
-1,149,2148,6227.884135,6253.201938
-1,150,2021,5859.661935,5905.131073
-1,151,19,55.0883606,64.01986237
-1,152,142,411.7130108,418.5976057
-1,153,43,124.6736582,125.9236755
-1,154,2043,5923.448458,5917.669301
-1,155,28,81.1828472,80.5962768
-1,156,3256,9440.405374,9462.895562
-1,157,80,231.950992,240.6953238
-1,158,42,121.7742708,123.4797337
-1,159,19,55.0883606,53.70989104
-1,160,22,63.7865228,64.63934442
-1,161,50,144.96937,142.253703
-1,162,733,2125.250964,2148.535579
-1,163,23,66.6859102,66.24367049
-1,164,608,1762.827539,1775.087537
-1,165,2301,6671.490407,6677.220667
-1,166,189,547.9842186,554.2809608
-1,167,897,2600.750498,2602.791518
-1,168,28,81.1828472,78.0693953
-1,169,2064,5984.335594,5985.771325
-1,170,4278,12403.5793,12482.82175
-1,171,2119,6143.801901,6174.79432
-1,172,153,443.6062722,439.7660059
-1,173,4618,13389.37101,13418.27841
-1,174,22,63.7865228,63.43488073
-1,175,2762,8008.107999,8068.930295
-1,176,4715,13670.61159,13727.45797
-1,177,2170,6291.670658,6329.006983
-1,178,1613,4676.711876,4702.916228
-1,179,498,1443.894925,1453.727364
-1,180,6349,18408.2106,18454.91472
-1,181,17,49.2895858,47.38685615
-1,182,3048,8837.332795,8942.741109
-1,183,334,968.3953916,986.6628023
-1,184,271,785.7339854,780.3934381
-1,185,49,142.0699826,147.5333203
-1,186,3118,9040.289913,9063.632241
-1,187,3489,10115.96264,10123.92893
-1,188,1304,3780.80117,3791.477941
-1,189,394,1142.358636,1160.714713
-1,190,3682,10675.54441,10710.51842
-1,191,5016,14543.3272,14613.1586
-1,192,166,481.2983084,484.3040099
-1,193,24,69.5852976,70.34126316
-1,194,25,72.484685,70.99985982
-1,195,3238,9388.216401,9415.168505
-1,196,111,321.8320014,326.2557061
-1,197,130,376.920362,378.6276847
-1,198,9214,26714.9555,26826.98907
-1,199,242,701.6517508,717.184024
-1,200,145,420.411173,416.3018804
-1,201,8471,24560.71067,24677.15842
-1,202,365,1058.276401,1059.582367
-1,203,168,487.0970832,503.5741322
-1,204,14,40.5914236,42.28023378
-1,205,429,1243.837195,1271.359211
-1,206,19,55.0883606,37.81632057
-1,207,14,40.5914236,38.41674745
-1,208,3876,11238.02556,11299.57278
-1,209,151,437.8074974,437.826366
-1,210,20,57.987748,46.63822043
-1,211,8623,25001.41755,24964.44231
-1,212,94,272.5424156,264.8403226
-1,213,9,26.0944866,29.80603861
-1,214,2,5.7987748,13.62998966
-1,215,356,1032.181914,1028.391114
-1,216,25,72.484685,76.97122663
-1,217,204,591.4750296,599.7750175
-1,218,36,104.3779464,108.5941728
-1,219,7,20.2957118,21.99000766
-1,220,11,31.8932614,35.21365327
-1,221,23,66.6859102,51.03372727
-1,222,219,634.9658406,562.9951674
-1,223,117,339.2283258,338.9677066
-1,224,168,487.0970832,480.7232627
-1,225,124,359.5240376,361.0542228
-1,226,48,139.1705952,142.891298
-1,227,284,823.4260216,810.2247678
-1,228,156,452.3044344,458.1956811
-1,229,507,1469.989412,1475.821162
-1,230,766,2220.930748,2036.145177
-1,231,3648,10576.96524,10528.22031
-1,232,1125,3261.810825,3127.750549
-1,233,39,113.0761086,87.85334791
-1,234,910,2638.442534,2373.688302
-1,235,52,150.7681448,147.6713275
-1,236,17,49.2895858,53.09286156
-1,237,23,66.6859102,71.11054052
-1,238,22,63.7865228,66.24260699
-1,239,91,263.8442534,263.8140633
-1,240,52,150.7681448,153.5425313
-1,241,21,60.8871354,62.01522143
-1,242,33,95.6797842,91.99243567
-1,243,28,81.1828472,84.74470462
-1,244,30,86.981622,83.28883697
-1,245,23,66.6859102,68.77091279
-1,246,22,63.7865228,70.75192991
-1,247,22,63.7865228,68.5478119
-1,248,23,66.6859102,65.80715644
-1,249,22,63.7865228,67.33458063
-1,250,19,55.0883606,54.35830655
-1,251,34,98.5791716,98.56111696
-1,252,92,266.7436408,251.345397
-1,253,27,78.2834598,75.80803311
-1,254,58,168.1644692,156.2693564
-1,255,25,72.484685,72.37054886
-1,256,5,14.496937,22.90050014
-1,257,10,28.993874,40.99541724
-1,258,159,461.0025966,450.8985787
-1,259,32,92.7803968,79.57707106
-1,260,18,52.1889732,54.26120049
-1,261,44,127.5730456,120.2919633
-1,262,74,214.5546676,222.8218297
-1,263,49,142.0699826,142.6980592
-1,264,200,579.87748,584.2970976
-1,265,90,260.944866,263.870521
-1,266,101,292.8381274,301.5903088
-1,267,90,260.944866,269.2270256
-1,268,218,632.0664532,639.2265172
-1,269,91,263.8442534,279.9651384
-1,270,63,182.6614062,188.7277468
-1,271,100,289.93874,290.0501062
-1,272,21,60.8871354,66.02706386
-1,273,55,159.466307,167.5392404
-1,274,10,28.993874,49.48126133
-1,275,33,95.6797842,106.6749033
-1,276,915,2652.939471,2673.968117
-1,277,177,513.1915698,551.4758426
-1,278,92,266.7436408,286.7066988
-1,279,17,49.2895858,55.7379097
-1,280,13,37.6920362,76.766169
-1,281,341,988.6911034,1024.079776
-1,282,39,113.0761086,109.5446058
-1,283,44,127.5730456,126.8412374
-1,284,115,333.429551,349.6931637
-1,285,111,321.8320014,325.112297
-1,286,59,171.0638566,171.8083767
-1,287,28,81.1828472,63.63311046
-1,288,90,260.944866,263.2080856
-1,289,41,118.8748834,119.8889065
-1,290,15,43.490811,48.96679937
-1,291,19,55.0883606,78.23228869
-1,292,25,72.484685,87.17785305
-1,293,249,721.9474626,718.4860567
-1,294,96,278.3411904,277.2128727
-1,295,35,101.478559,102.9836321
-1,296,17,49.2895858,46.79569578
-1,297,45,130.472433,128.3399202
-1,298,280,811.828472,814.4293329
-1,299,20,57.987748,55.24784773
-1,300,497,1440.995538,1452.043287
-1,301,75,217.454055,221.2451442
-1,302,431,1249.635969,1267.28539
-1,303,79,229.0516046,234.4881707
-1,304,29,84.0822346,98.58296123
-1,305,33,95.6797842,98.60726746
-1,306,423,1226.44087,1231.936744
-1,307,489,1417.800439,1417.545786
-1,308,195,565.380543,573.1015717
-1,309,139,403.0148486,391.5504101
-1,310,20,57.987748,60.66284039
-1,311,638,1849.809161,1860.866564
-1,312,1765,5117.418761,5117.910881
-1,313,21,60.8871354,55.18544234
-1,314,107,310.2344518,304.6069515
-1,315,139,403.0148486,412.5006968
-1,316,204,591.4750296,596.4520726
-1,317,1399,4056.242973,4054.940783
-1,318,332,962.5966168,929.5918953
-1,319,34,98.5791716,101.1221847
-1,320,2744,7955.919026,7979.898118
-1,321,67,194.2589558,192.2367104
-1,322,351,1017.684977,1035.585414
-1,323,40,115.975496,113.1390916
-1,324,54,156.5669196,152.8600265
-1,325,3046,8831.53402,8817.18023
-1,326,63,182.6614062,186.0510642
-1,327,232,672.6578768,682.0724035
-1,328,137,397.2160738,341.4193856
-1,329,1197,3470.566718,3473.272614
-1,330,579,1678.745305,1692.625839
-1,331,139,403.0148486,405.7049746
-1,332,76,220.3534424,224.1545439
-1,333,24,69.5852976,67.44081087
-1,334,21,60.8871354,49.08212687
-1,335,214,620.4689036,617.9710929
-1,336,754,2186.1381,2181.457803
-1,337,74,214.5546676,216.6285851
-1,338,69,200.0577306,207.7641303
-1,339,94,272.5424156,272.2116194
-1,340,27,78.2834598,82.77386816
-1,341,66,191.3595684,207.0529753
-1,342,438,1269.931681,1253.872516
-1,343,130,376.920362,364.5360551
-1,344,588,1704.839791,1707.167581
-1,345,828,2400.692767,2128.298379
-1,346,1592,4615.824741,4651.964328
-1,347,776,2249.924622,2254.408826
-1,348,271,785.7339854,788.5628566
-1,349,249,721.9474626,726.3235007
-1,350,88,255.1460912,255.3978419
-1,351,47,136.2712078,145.256842
-1,352,12,34.7926488,39.46560581
-1,353,19,55.0883606,57.29742613
-1,354,14,40.5914236,40.73052943
-1,355,18,52.1889732,55.8848854
-1,356,32,92.7803968,98.40981426
-1,357,79,229.0516046,230.1769173
-1,358,17,49.2895858,53.47202371
-1,359,61,176.8626314,173.9657645
-1,360,35,101.478559,96.69454946
-1,361,64,185.5607936,183.6866395
-1,362,97,281.2405778,286.7153505
-1,363,142,411.7130108,410.8209117
-1,364,5,14.496937,20.12751277
-1,365,215,623.368291,604.9112769
-1,366,58,168.1644692,167.1925233
-1,367,19,55.0883606,51.28976153
-1,368,72,208.7558928,210.4140158
-1,369,676,1959.985882,1972.929324
-1,370,1,2.8993874,10.68254664
-1,371,102,295.7375148,299.5783501
-1,372,189,547.9842186,562.3741702
-1,373,71,205.8565054,199.1203957
-1,374,506,1467.090024,1470.045803
-1,375,906,2626.844984,2637.27134
-1,376,69,200.0577306,208.8611295
-1,377,112,324.7313888,327.4203726
-1,378,163,472.6001462,476.7224308
-1,379,737,2136.848514,2154.707611
-1,380,10,28.993874,34.40557081
-1,381,24,69.5852976,70.8442542
-1,382,1574,4563.635768,4549.388112
-1,383,139,403.0148486,413.6637125
-1,384,20,57.987748,62.84031499
-1,385,78,226.1522172,224.852306
-1,386,73,211.6552802,205.9293994
-1,387,209,605.9719666,605.2538763
-1,388,1296,3757.60607,3748.16012
-1,389,26,75.3840724,77.71070884
-1,390,996,2887.78985,2893.189712
-1,391,68,197.1583432,152.2843327
-1,392,12,34.7926488,23.10810243
-1,393,1291,3743.109133,3783.962656
-1,394,230,666.859102,672.2967192
-1,395,23,66.6859102,69.4426238
-1,396,518,1501.882673,1521.331113
-1,397,95,275.441803,267.945827
-1,398,566,1641.053268,1510.386692
-1,399,254,736.4443996,744.4060042
-1,400,104,301.5362896,303.8722982
-1,401,1099,3186.426753,3205.815205
-1,402,113,327.6307762,332.9034478
-1,403,87,252.2467038,221.5175552
-1,404,127,368.2221998,371.6295426
-1,405,259,750.9413366,754.5021447
-1,406,33,95.6797842,103.8791826
-1,407,36,104.3779464,81.30396972
-1,408,13,37.6920362,36.59544885
-1,409,10,28.993874,34.62894368
-1,410,4571,13253.09981,13176.19794
-1,411,10,28.993874,25.28414922
-1,412,1217,3528.554466,3357.363441
-1,413,1015,2942.878211,2874.109279
-1,414,381,1104.666599,876.3824307
-1,415,122,353.7252628,291.6425008
-1,416,103,298.6369022,290.0079429
-1,417,2301,6671.490407,6699.425859
-1,418,117,339.2283258,354.6547956
-1,419,7,20.2957118,24.09843906
-1,420,38,110.1767212,124.7572526
-1,421,22,63.7865228,62.28592103
-1,422,233,675.5572642,676.0507652
-1,423,11,31.8932614,33.40883388
-1,424,21,60.8871354,46.6352426
-1,425,9,26.0944866,12.75189982
-1,426,3,8.6981622,2.801269872
-1,427,32,92.7803968,82.06315101
-1,428,575,1667.147755,1686.347462
-1,429,158,458.1032092,503.686633
-1,430,22,63.7865228,59.90787661
-1,431,143,414.6123982,421.5163049
