Orig_FID,Class,Quadrant,District,Orig_area,Gridtype,Resolution,Area,DiffArea,Percent
441,Stream/Rivers,NE,707C,1.401903932,ISEA3H,24,4893.936963,4892.535059,348992.1775
920,Manicured,NE,707H,1.919257698,ISEA3H,24,725.0268243,723.1075666,37676.41872
426,Roads/Raillines,NE,707A,2.801269872,ISEA3H,24,362.5138872,359.7126174,12841.05544
1097,Stream/Rivers,NE,707D,3.639238408,ISEA3H,24,906.2837114,902.644473,24803.1146
663,Roads/Raillines,NW,801B,4.099394157,ISEA3H,24,181.2568237,177.1574295,4321.551496
440,Stream/Rivers,NE,707A,4.79619289,ISEA3H,24,1450.055396,1445.259203,30133.46703
741,Building/Paved,NE,707D,5.792960093,ISEA3H,24,543.7701115,537.9771514,9286.74016
1106,Stream/Rivers,NE,707H,6.060426152,ISEA3H,24,1812.56706,1806.506634,29808.24432
962,Roads/Raillines,NE,707H,6.565957798,ISEA3H,24,181.2564999,174.6905421,2660.549268
81,Building/Paved,NE,801D,6.768842032,ISEA3H,24,1450.053323,1443.284481,21322.4725
447,Stream/Rivers,NE,707A,7.911404812,ISEA3H,24,543.7706447,535.8592399,6773.25017
1096,Stream/Rivers,NE,707H,9.213954611,ISEA3H,24,1450.05353,1440.839576,15637.58057
370,Manicured,NE,801B,10.68254664,ISEA3H,24,1450.054342,1439.371795,13474.05112
1047,PavedTrails,NE,707H,10.81416855,ISEA3H,24,362.5132431,351.6990746,3252.206334
680,Stream/Rivers,NW,801B,11.02931107,ISEA3H,24,725.0270582,713.9977472,6473.638677
425,Roads/Raillines,NE,707A,12.75189982,ISEA3H,24,362.5138928,349.761993,2742.822622
432,Roads/Raillines,NE,801B,13.38174755,ISEA3H,24,181.2568003,167.8750527,1254.507695
905,Manicured,NE,707D,13.61392809,ISEA3H,24,181.2566938,167.6427657,1231.406282
214,Building/Paved,NE,707C,13.62998966,ISEA3H,24,543.7706421,530.1406524,3889.516174
915,Manicured,NE,707H,16.20138404,ISEA3H,24,181.2566981,165.055314,1018.772925
364,Manicured,NE,707A,20.12751277,ISEA3H,24,1087.541321,1067.413808,5303.257388
1072,Roads/Raillines,NE,707H,20.86234373,ISEA3H,24,1087.539272,1066.676928,5112.929505
973,Manicured,NE,707D,21.35836585,ISEA3H,24,543.7704483,522.4120824,2445.936576
219,Forest,NE,707A,21.99000766,ISEA3H,24,181.2569214,159.2669137,724.269478
1102,Stream/Rivers,NE,707D,22.89419644,ISEA3H,24,906.2838137,883.3896172,3858.574462
256,Manicured,NE,707C,22.90050014,ISEA3H,24,906.2841313,883.3836311,3857.486193
392,Manicured,NE,707A,23.10810243,ISEA3H,24,362.5138747,339.4057723,1468.773878
794,Manicured,NE,707D,24.09390602,ISEA3H,24,362.5134535,338.4195475,1404.585654
419,Roads/Raillines,NE,707A,24.09843906,ISEA3H,24,543.7704963,519.6720572,2156.455262
411,PavedTrails,NE,801B,25.28414922,ISEA3H,24,543.7703569,518.4862077,2050.637351
1043,PavedTrails,NE,707D,25.57250402,ISEA3H,24,543.7704872,518.1979832,2026.387337
505,Building/Paved,NW,801E,26.20362573,ISEA3H,24,543.7701555,517.5665298,1975.171433
1062,Roads/Raillines,NE,707H,26.36348447,ISEA3H,24,543.7696209,517.4061364,1962.586308
1066,Roads/Raillines,NE,707D,27.12991098,ISEA3H,24,362.5135016,335.3835906,1236.213384
1105,Stream/Rivers,NE,707H,27.17011622,ISEA3H,24,1087.540034,1060.369918,3902.706597
659,PavedTrails,NW,801E,27.51589789,ISEA3H,24,362.5133082,334.9974103,1217.468576
731,Building/Paved,NE,707G,27.54864562,ISEA3H,24,543.7700225,516.2213769,1873.853924
1082,Shrubland,NE,707H,27.59181311,ISEA3H,24,543.769543,516.1777299,1870.764084
686,Building/Paved,NE,707H,27.83090619,ISEA3H,24,543.7695201,515.9386139,1853.833326
1107,Stream/Rivers,NE,707H,28.97490698,ISEA3H,24,362.5129881,333.5380811,1151.127358
688,Building/Paved,NE,707H,29.69618585,ISEA3H,24,906.2826292,876.5864434,2951.84859
213,Building/Paved,NE,707C,29.80603861,ISEA3H,24,543.770763,513.9647244,1724.364419
44,Building/Paved,NE,801G,29.95647153,ISEA3H,24,362.5132531,332.5567815,1110.133352
1042,PavedTrails,NE,707D,30.36792133,ISEA3H,24,362.5136465,332.1457252,1093.738757
533,Manicured,NW,801E,31.1325971,ISEA3H,24,362.5133362,331.3807391,1064.417267
708,Building/Paved,NE,707H,31.20544536,ISEA3H,24,1993.822424,1962.616979,6289.341352
783,Construction,NE,707H,31.80424865,ISEA3H,24,725.026638,693.2223893,2179.653407
606,Manicured,NW,801E,32.28687517,ISEA3H,24,1268.796521,1236.509646,3829.759429
664,Roads/Raillines,NW,801E,32.70149127,ISEA3H,24,543.7697806,511.0682894,1562.828695
728,Building/Paved,NE,707I,32.79605741,ISEA3H,24,906.2830773,873.4870199,2663.390325
423,Roads/Raillines,NE,707A,33.40883388,ISEA3H,24,543.7708265,510.3619926,1527.62588
665,Roads/Raillines,NW,801E,33.65079271,ISEA3H,24,362.5132077,328.862415,977.2798455
380,Manicured,NE,707A,34.40557081,ISEA3H,24,362.5137339,328.1081631,953.6483638
409,PavedTrails,NE,707A,34.62894368,ISEA3H,24,725.0275407,690.3985971,1993.70389
220,Forest,NE,707A,35.21365327,ISEA3H,24,362.5138558,327.3002025,929.4696009
527,Manicured,NW,801E,35.59804086,ISEA3H,24,543.7698553,508.1718144,1427.527477
408,PavedTrails,NE,707A,36.59544885,ISEA3H,24,362.5136617,325.9182128,890.5976646
974,Manicured,NE,707D,36.88401323,ISEA3H,24,362.5136342,325.629621,882.8475876
532,Manicured,NW,801E,37.06286801,ISEA3H,24,362.5133122,325.4504442,878.1037779
1085,Shrubland,NE,707H,37.29978895,ISEA3H,24,543.7698676,506.4700786,1357.836312
206,Building/Paved,NE,707A,37.81632057,ISEA3H,24,362.513847,324.6975264,858.6174475
436,Roads/Raillines,NE,707A,37.97021889,ISEA3H,24,725.0275125,687.0572936,1809.46361
991,Manicured,NE,707H,37.99066309,ISEA3H,24,906.2833417,868.2926786,2285.54231
207,Building/Paved,NE,707A,38.41674745,ISEA3H,24,362.5138502,324.0971027,843.6349358
1101,Stream/Rivers,NE,707D,38.88713253,ISEA3H,24,362.5135097,323.6263772,832.2196988
352,Manicured,NE,707A,39.46560581,ISEA3H,24,362.5136018,323.047996,818.5557763
530,Manicured,NW,801E,40.27160494,ISEA3H,24,1450.053158,1409.781553,3500.683807
557,Manicured,NW,801J,40.29650975,ISEA3H,24,725.0263651,684.7298554,1699.228692
1005,Manicured,NE,707H,40.39468898,ISEA3H,24,362.5131011,322.1184121,797.4276328
354,Manicured,NE,707A,40.73052943,ISEA3H,24,543.7705254,503.039996,1235.044089
443,Stream/Rivers,NE,707C,40.95482118,ISEA3H,24,1268.798187,1227.843365,2998.043526
257,Manicured,NE,707C,40.99541724,ISEA3H,24,725.0273091,684.0318918,1668.55697
594,Manicured,NW,801E,41.34091464,ISEA3H,24,543.7698924,502.4289778,1215.331064
800,Manicured,NE,707I,41.58379327,ISEA3H,24,1268.795775,1227.211981,2951.178535
1024,Manicured,NE,707H,41.59502648,ISEA3H,24,362.5133807,320.9183542,771.5305924
204,Building/Paved,NE,707A,42.28023378,ISEA3H,24,362.5138459,320.2336121,757.4073828
822,Manicured,NE,707I,42.37836181,ISEA3H,24,725.0261763,682.6478144,1610.840498
941,Manicured,NE,707D,42.46088874,ISEA3H,24,181.2567487,138.7958599,326.8793095
732,Building/Paved,NE,707G,43.63348878,ISEA3H,24,362.5133486,318.8798598,730.814493
147,Building/Paved,NE,707C,43.67119175,ISEA3H,24,725.0271567,681.3559649,1560.195492
611,Manicured,NW,801J,45.60985813,ISEA3H,24,362.5133184,316.9034602,694.8135188
902,Manicured,NE,707G,46.19516279,ISEA3H,24,362.513383,316.3182202,684.7431659
1025,Manicured,NE,707H,46.42542205,ISEA3H,24,362.5133857,316.0879636,680.8510287
424,Roads/Raillines,NE,707D,46.6352426,ISEA3H,24,543.7706082,497.1353656,1066.00789
210,Building/Paved,NE,707A,46.63822043,ISEA3H,24,362.5138841,315.8756637,677.2892722
296,Manicured,NE,801G,46.79569578,ISEA3H,24,362.5134352,315.7177395,674.6726045
636,Manicured,NW,801B,47.00077608,ISEA3H,24,543.7702254,496.7694493,1056.938823
911,Manicured,NE,707D,47.02345908,ISEA3H,24,362.5133986,315.4899395,670.9203144
613,Manicured,NW,801J,47.06195832,ISEA3H,24,362.5133222,315.4513638,670.2894972
181,Building/Paved,NE,707C,47.38685615,ISEA3H,24,725.0274401,677.640584,1430.018024
1040,PavedTrails,NE,707D,47.75879454,ISEA3H,24,725.0272051,677.2684106,1418.101979
591,Manicured,NW,801E,47.83652025,ISEA3H,24,543.7698877,495.9333674,1036.725424
807,Manicured,NE,707D,48.17633591,ISEA3H,24,543.7702417,495.5939058,1028.708175
582,Manicured,NW,801J,48.33153594,ISEA3H,24,362.5132332,314.1816973,650.0552718
893,Manicured,NE,707G,48.53102257,ISEA3H,24,725.0267174,676.4956948,1393.94486
433,Roads/Raillines,NE,707A,48.57614247,ISEA3H,24,906.2841954,857.708053,1765.698158
290,Manicured,NE,707G,48.96679937,ISEA3H,24,725.0268155,676.0600162,1380.649797
334,Manicured,NE,707A,49.08212687,ISEA3H,24,725.0277632,675.9456363,1377.172668
1054,Roads/Raillines,NE,707H,49.42389533,ISEA3H,24,906.2825033,856.8586079,1733.692988
274,Manicured,NE,801F,49.48126133,ISEA3H,24,1087.539325,1038.058063,2097.881168
861,Manicured,NE,707H,49.60607735,ISEA3H,24,725.0264713,675.420394,1361.567836
576,Manicured,NW,801E,49.95930766,ISEA3H,24,543.7698294,493.8105218,988.4254705
538,Manicured,NW,801E,50.77147448,ISEA3H,24,725.0265389,674.2550644,1328.019466
1068,Roads/Raillines,NE,707H,50.82905668,ISEA3H,24,543.7696429,492.9405862,969.8007762
1001,Manicured,NE,707H,50.8440903,ISEA3H,24,181.2565382,130.4124479,256.4948003
588,Manicured,NW,801E,50.93276595,ISEA3H,24,543.769864,492.8370981,967.6228827
702,Building/Paved,NE,707I,50.9538226,ISEA3H,24,543.7697207,492.8158981,967.1814065
221,Forest,NE,707A,51.03372727,ISEA3H,24,543.7708172,492.7370899,965.5126448
367,Manicured,NE,707A,51.28976153,ISEA3H,24,543.7707998,492.4810382,960.1936595
1023,Manicured,NE,707H,52.16537467,ISEA3H,24,543.7700541,491.6046795,942.3965276
